ein,founding_year,ruling_date,name,city,state,zip,subsection,foundation_code,ntee_code,asset_amount,income_amount,revenue_amount,found_in_bmf
113659478,2003,200305,GRAND BEGINNINGS,GRANBY,CO,80446-0042,03,15,B99,705739,658232,658232,Y
113661136,2004,200406,WAPITI CHILD CARE CENTER PARENT ORGANIZATION,FRASER,CO,80442-0454,03,16,,836998,1382733,1354465,Y
113663586,2003,200312,LIGHT HEART MINISTRIES,LITTLETON,CO,80160-0587,03,15,X20,0,0,0,Y
113666082,1946,194611,PTA COLORADO CONGRESS,BOULDER,CO,80303-1118,03,16,,148365,116623,101172,Y
113679067,2007,200708,HUAJATOLLA VALLEY ESTATES INCORPORATED,LA VETA,CO,81055-0644,12,00,Y220,639296,126679,126679,Y
113703271,2004,200412,DONOR SIBLING REGISTRY,NEDERLAND,CO,80466-5125,03,16,P50,606892,261555,261555,Y
113704883,2004,200411,CHARACTER CHOICE INC,ERIE,CO,80516-6558,03,15,P40,66390,38241,38241,Y
113709514,1976,197603,ROAD RUNNERS CLUB OF AMERICA,DURANGO,CO,81302-0032,03,15,N70,42889,70459,70459,Y
113730281,2004,200412,VOLUNTEER CORPS OF THE VAIL VALLEY MEDICAL CENTER,VAIL,CO,81658-7520,03,17,E112,52851,150400,76342,Y
113745662,,,,,,,,,,,,,N
113766787,,,,,,,,,,,,,N
113785204,2010,201012,GUNNISON TRAILS,GUNNISON,CO,81230-0105,03,16,C30,445142,364026,364026,Y
113792261,2007,200706,BROOMFIELD ROTARY FOUNDATION,BROOMFIELD,CO,80038-0332,03,15,T30,529930,339459,148894,Y
113797369,,,,,,,,,,,,,N
113803178,2007,200708,THE ARC OF LARIMER COUNTY INC,FORT COLLINS,CO,80526-7611,03,15,P82,2296159,1149250,1141660,Y
113813584,2016,201607,TELLER COUNTY FARMERS MARKET ASSOCIATION,WOODLAND PARK,CO,80866-0464,03,16,K30,94342,64292,64292,Y
113825820,2009,200904,THE DARTMOUTH ASSOCIATION OF THE ROCKY MOUNTAINS INC,LITTLETON,CO,80120-2087,03,15,B84,117941,44208,44208,Y
113826357,2009,200910,ROCKY MOUNTAIN HONOR FLIGHT,WESTMINSTER,CO,80023-9357,03,15,A80,1302648,368808,368200,Y
116110103,,,,,,,,,,,,,N
131623894,,,,,,,,,,,,,N
131628144,,,,,,,,,,,,,N
131672624,1944,194409,GREETING CARD ASSOCIATION,CENTENNIAL,CO,80112-3891,06,00,,546241,1353705,1353705,Y
131958474,1941,194108,MINING AND METALLURGICAL SOCIETY OF AMERICA,LITTLETON,CO,80127-0030,06,00,,74465,66717,66717,Y
132703062,1971,197108,A CHRISTIAN MINISTRY IN THE NATIONAL PARKS,GREENWOOD VLG,CO,80112-3656,03,15,X20Z,4864186,832050,822050,Y
132861992,,,,,,,,,,,,,N
132931071,1983,198306,SOCIETY OF ANIMAL ARTISTS INC,BERTHOUD,CO,80513-8987,03,15,A20,524198,298382,91564,Y
132931242,1978,197807,ECUMENICAL PROJECT FOR INTERNATIONAL COOPERATION INC,ALLENSPARK,CO,80510-0433,03,15,Q200,1222232,345666,340897,Y
132954127,1978,197811,NATIONAL RECYCLING COALITION INC,LOVELAND,CO,80537-8020,03,15,C01,540054,85035,85035,Y
133124088,,,,,,,,,,,,,N
133246354,,,,,,,,,,,,,N
133412520,,,,,,,,,,,,,N
133674722,2007,200708,RESEARCH ADMINISTRATORS CERTIFICATION COUNCIL,EATON,CO,80615-3495,06,00,S46,485561,296791,296791,Y
133691789,0,000000,BEARDED COLLIE CLUB OF AMERICA INC,ELIZABETH,CO,80107-7854,04,00,,394220,87833,87833,Y
133753992,1994,199409,MOEBIUS SYNDROME FOUNDATION,DENVER,CO,80202-1508,03,15,T30,1978268,338157,338157,Y
133944997,,,,,,,,,,,,,N
134003739,,,,,,,,,,,,,N
134224803,2012,201203,MERCY HOUSING PEMBROKE INC,DENVER,CO,80202-4929,03,16,L22,0,0,0,Y
134225599,,,,,,,,,,,,,N
134236315,,,,,,,,,,,,,N
134236428,2003,200308,VIBRANT FAITH MINISTRIES,LOVELAND,CO,80537-0512,03,16,P40,927301,545586,545586,Y
134242773,2004,200408,HOMEWARD PIKES PEAK,COLORADO SPGS,CO,80909-5819,03,15,L41,8589106,4279031,4244190,Y
134257671,2004,200405,CASAS DEL RIO GRANDE,WESTMINSTER,CO,80030-1709,03,15,T70,2170923,239100,239100,Y
134263816,2004,200407,THE EATING DISORDER FOUNDATION,DENVER,CO,80205-5531,03,15,F50,1212106,544215,544215,Y
134268861,,,,,,,,,,,,,N
134292419,2001,200101,SOCIETY FOR MANAGEMENT INFORMATIO SYSTEMS,DENVER,CO,80222-7900,06,00,S41,75006,152245,152245,Y
134359583,2007,200711,CONFUCIUS CLASSROOM IN DENVER INC,AURORA,CO,80016-5006,03,16,B99,6880,30000,30000,Y
135638284,1952,195201,LA NAPOULE ART FOUNDATION-HENRY CLEWS MEMORIAL,DENVER,CO,80206-4613,03,15,Q200,2785243,1802778,1793327,Y
135656486,,,,,,,,,,,,,N
